deal_id,stage_name,date_entered,date_exited
D00023,Demo,2026-02-01,2026-02-15
D00023,Proposal,2026-02-15,2026-02-28
D00023,Negotiation,2026-02-28,2026-03-07
D00024,Lead,2024-10-09,2024-10-11
D00024,Qualified,2024-10-11,2024-10-17
D00024,Demo,2024-10-17,2024-10-23
D00024,Proposal,2024-10-23,2024-11-03
D00024,Negotiation,2024-11-03,2024-11-10
D00025,Lead,2026-02-19,2026-02-23
D00025,Qualified,2026-02-23,2026-03-01
D00025,Demo,2026-03-01,2026-03-07
D00025,Proposal,2026-03-07,2026-03-21
D00026,Lead,2025-04-25,2025-05-01
D00026,Qualified,2025-05-01,2025-05-08
D00027,Lead,2024-05-01,2024-05-05
D00027,Qualified,2024-05-05,2024-05-14
D00027,Demo,2024-05-14,2024-05-20
D00027,Proposal,2024-05-20,2024-05-30
D00027,Negotiation,2024-05-30,2024-06-12
D00028,Lead,2026-05-22,2026-05-27
D00028,Qualified,2026-05-27,2026-06-03
D00028,Demo,2026-06-03,2026-06-09
D00029,Lead,2025-03-25,2025-03-29
D00029,Qualified,2025-03-29,2025-04-06
D00029,Demo,2025-04-06,2025-04-16
D00029,Proposal,2025-04-16,2025-05-01
D00029,Negotiation,2025-05-01,2025-05-12
D00030,Lead,2026-06-29,2026-07-02
D00030,Qualified,2026-07-02,2026-07-11
D00030,Demo,2026-07-11,2026-07-20
D00030,Proposal,2026-07-20,
D00031,Lead,2025-07-09,2025-07-12
D00031,Qualified,2025-07-12,2025-07-18
D00031,Demo,2025-07-18,2025-07-26
D00031,Proposal,2025-07-26,2025-08-19
D00031,Negotiation,2025-08-19,2025-09-10
D00032,Lead,2024-10-06,2024-10-10
D00032,Qualified,2024-10-10,2024-10-18
D00032,Demo,2024-10-18,2024-10-24
D00032,Proposal,2024-10-24,2024-11-08
D00032,Negotiation,2024-11-08,2024-11-18
D00033,Lead,2025-07-10,2025-07-14
D00033,Qualified,2025-07-14,2025-07-23
D00033,Demo,2025-07-23,2025-07-29
D00033,Proposal,2025-07-29,2025-08-03
D00033,Negotiation,2025-08-03,2025-08-15
D00034,Lead,2025-11-01,2025-11-05
D00034,Qualified,2025-11-05,2025-11-09
D00034,Demo,2025-11-09,2025-11-19
D00034,Proposal,2025-11-19,2025-12-02
D00034,Negotiation,2025-12-02,2025-12-10
D00035,Lead,2026-07-14,2026-07-19
D00035,Qualified,2026-07-19,
D00036,Lead,2025-08-20,2025-08-26
D00036,Qualified,2025-08-26,2025-08-29
D00036,Demo,2025-08-29,2025-09-07
D00036,Proposal,2025-09-07,2025-09-23
D00036,Negotiation,2025-09-23,2025-10-06
D00037,Lead,2025-08-02,2025-08-08
D00037,Qualified,2025-08-08,2025-08-16
D00037,Demo,2025-08-16,2025-08-25
D00037,Proposal,2025-08-25,2025-09-08
D00037,Negotiation,2025-09-08,2025-09-27
D00038,Lead,2025-03-01,2025-03-04
D00038,Qualified,2025-03-04,2025-03-12
D00038,Demo,2025-03-12,2025-03-24
D00039,Lead,2026-03-20,2026-03-23
D00039,Qualified,2026-03-23,2026-03-31
D00039,Demo,2026-03-31,2026-04-15
D00039,Proposal,2026-04-15,2026-04-27
D00039,Negotiation,2026-04-27,2026-05-06
D00040,Lead,2026-06-23,2026-06-26
D00040,Qualified,2026-06-26,2026-07-02
D00040,Demo,2026-07-02,2026-07-13
D00040,Proposal,2026-07-13,
D00041,Lead,2026-05-21,2026-05-24
D00041,Qualified,2026-05-24,2026-06-03
D00041,Demo,2026-06-03,2026-06-10
D00041,Proposal,2026-06-10,2026-06-18
D00041,Negotiation,2026-06-18,2026-06-26
D00042,Lead,2026-04-19,2026-04-27
D00042,Qualified,2026-04-27,2026-05-04
D00042,Demo,2026-05-04,2026-05-12
D00042,Proposal,2026-05-12,2026-05-31
D00042,Negotiation,2026-05-31,2026-06-09
D00043,Lead,2024-04-20,2024-04-24
D00043,Qualified,2024-04-24,2024-05-02
D00043,Demo,2024-05-02,2024-05-07
D00043,Proposal,2024-05-07,2024-06-03
D00043,Negotiation,2024-06-03,2024-06-11
D00044,Lead,2024-11-16,2024-11-22
D00044,Qualified,2024-11-22,2024-11-24
D00044,Demo,2024-11-24,2024-11-30
D00044,Proposal,2024-11-30,2024-12-11
D00044,Negotiation,2024-12-11,2024-12-24
D00045,Lead,2026-06-19,2026-06-22
D00045,Qualified,2026-06-22,2026-06-27
D00045,Demo,2026-06-27,2026-07-05
D00045,Proposal,2026-07-05,2026-07-17
D00046,Lead,2024-07-04,2024-07-11
D00046,Qualified,2024-07-11,2024-07-17
D00046,Demo,2024-07-17,2024-07-27
D00047,Lead,2025-11-08,2025-11-13
D00047,Qualified,2025-11-13,2025-11-17
D00047,Demo,2025-11-17,2025-11-28
D00047,Proposal,2025-11-28,2025-12-18
D00047,Negotiation,2025-12-18,2025-12-24
D00048,Lead,2024-08-23,2024-08-27
D00048,Qualified,2024-08-27,2024-09-02
D00048,Demo,2024-09-02,2024-09-11
D00048,Proposal,2024-09-11,2024-10-15
D00048,Negotiation,2024-10-15,2024-10-22
D00049,Lead,2024-11-13,2024-11-18
D00049,Qualified,2024-11-18,2024-11-25
D00049,Demo,2024-11-25,2024-12-04
D00049,Proposal,2024-12-04,2024-12-17
D00049,Negotiation,2024-12-17,2024-12-23
D00050,Lead,2025-10-01,2025-10-03
D00050,Qualified,2025-10-03,2025-10-12
D00050,Demo,2025-10-12,2025-10-18
D00050,Proposal,2025-10-18,2025-10-31
D00050,Negotiation,2025-10-31,2025-11-10
D00051,Lead,2025-05-02,2025-05-05
D00051,Qualified,2025-05-05,2025-05-12
D00051,Demo,2025-05-12,2025-05-22
D00051,Proposal,2025-05-22,2025-05-31
D00051,Negotiation,2025-05-31,2025-06-10
D00052,Lead,2026-01-11,2026-01-12
D00052,Qualified,2026-01-12,2026-01-16
D00052,Demo,2026-01-16,2026-01-20
D00052,Proposal,2026-01-20,2026-02-16
D00052,Negotiation,2026-02-16,2026-03-01
D00053,Lead,2026-05-13,2026-05-17
D00053,Qualified,2026-05-17,2026-05-21
D00053,Demo,2026-05-21,2026-05-30
D00053,Proposal,2026-05-30,2026-06-22
D00053,Negotiation,2026-06-22,2026-07-01
D00054,Lead,2025-09-17,2025-09-23
D00054,Qualified,2025-09-23,2025-09-29
D00054,Demo,2025-09-29,2025-10-10
D00054,Proposal,2025-10-10,2025-10-26
D00054,Negotiation,2025-10-26,2025-10-30
D00055,Lead,2026-02-20,2026-02-24
D00055,Qualified,2026-02-24,2026-03-02
D00056,Lead,2024-01-29,2024-02-04
D00056,Qualified,2024-02-04,2024-02-11
D00056,Demo,2024-02-11,2024-02-15
D00057,Lead,2026-01-14,2026-01-19
D00057,Qualified,2026-01-19,2026-01-24
D00057,Demo,2026-01-24,2026-01-28
D00057,Proposal,2026-01-28,2026-02-10
D00057,Negotiation,2026-02-10,2026-02-23
D00058,Lead,2025-02-03,2025-02-10
D00058,Qualified,2025-02-10,2025-02-17
D00058,Demo,2025-02-17,2025-02-22
D00058,Proposal,2025-02-22,2025-03-08
D00058,Negotiation,2025-03-08,2025-03-12
D00059,Lead,2026-05-11,2026-05-16
D00059,Qualified,2026-05-16,2026-05-24
D00060,Lead,2025-02-13,2025-02-16
D00060,Qualified,2025-02-16,2025-02-19
D00060,Demo,2025-02-19,2025-03-03
D00060,Proposal,2025-03-03,2025-03-14
D00060,Negotiation,2025-03-14,2025-03-19
D00061,Lead,2026-03-21,2026-03-27
D00061,Qualified,2026-03-27,2026-03-29
D00062,Lead,2025-08-03,2025-08-05
D00062,Qualified,2025-08-05,2025-08-09
D00062,Demo,2025-08-09,2025-08-20
D00062,Proposal,2025-08-20,2025-09-01
D00062,Negotiation,2025-09-01,2025-09-09
D00063,Lead,2026-04-25,2026-05-05
D00063,Qualified,2026-05-05,2026-05-10
D00063,Demo,2026-05-10,2026-05-16
D00063,Proposal,2026-05-16,2026-05-23
D00063,Negotiation,2026-05-23,2026-05-28
D00064,Lead,2026-04-27,2026-05-01
D00064,Qualified,2026-05-01,2026-05-07
D00064,Demo,2026-05-07,2026-05-14
D00064,Proposal,2026-05-14,2026-05-29
D00064,Negotiation,2026-05-29,2026-06-07
D00065,Lead,2025-12-27,2026-01-01
D00065,Qualified,2026-01-01,2026-01-08
D00065,Demo,2026-01-08,2026-01-15
D00065,Proposal,2026-01-15,2026-01-28
D00065,Negotiation,2026-01-28,2026-02-08
D00066,Lead,2025-03-02,2025-03-06
D00066,Qualified,2025-03-06,2025-03-13
D00066,Demo,2025-03-13,2025-03-24
D00066,Proposal,2025-03-24,2025-04-05
D00066,Negotiation,2025-04-05,2025-04-19
D00067,Lead,2025-04-22,2025-04-24
D00067,Qualified,2025-04-24,2025-04-30
D00067,Demo,2025-04-30,2025-05-07
D00067,Proposal,2025-05-07,2025-05-15
D00068,Lead,2026-05-31,2026-06-03
D00068,Qualified,2026-06-03,2026-06-11
D00068,Demo,2026-06-11,2026-06-17
D00068,Proposal,2026-06-17,2026-06-26
D00068,Negotiation,2026-06-26,2026-07-05
D00069,Lead,2025-01-09,2025-01-12
D00069,Qualified,2025-01-12,2025-01-16
D00069,Demo,2025-01-16,2025-01-26
D00069,Proposal,2025-01-26,2025-02-09
D00069,Negotiation,2025-02-09,2025-02-20
D00070,Lead,2025-03-02,2025-03-06
D00070,Qualified,2025-03-06,2025-03-12
D00070,Demo,2025-03-12,2025-03-23
D00070,Proposal,2025-03-23,2025-04-07
D00070,Negotiation,2025-04-07,2025-04-17
D00071,Lead,2026-03-04,2026-03-08
D00071,Qualified,2026-03-08,2026-03-12
D00071,Demo,2026-03-12,2026-03-22
D00071,Proposal,2026-03-22,2026-04-05
D00071,Negotiation,2026-04-05,2026-04-09
D00072,Lead,2025-12-22,2025-12-29
D00072,Qualified,2025-12-29,2026-01-03
D00072,Demo,2026-01-03,2026-01-11
D00073,Lead,2026-02-04,2026-02-08
D00073,Qualified,2026-02-08,2026-02-15
D00073,Demo,2026-02-15,2026-02-22
D00073,Proposal,2026-02-22,2026-03-05
D00073,Negotiation,2026-03-05,2026-03-10
D00074,Lead,2024-10-21,2024-10-26
D00074,Qualified,2024-10-26,2024-11-07
D00074,Demo,2024-11-07,2024-11-21
D00074,Proposal,2024-11-21,2024-12-06
D00074,Negotiation,2024-12-06,2024-12-11
D00075,Lead,2025-07-10,2025-07-16
D00075,Qualified,2025-07-16,2025-07-19
D00075,Demo,2025-07-19,2025-07-30
D00075,Proposal,2025-07-30,2025-08-10
D00075,Negotiation,2025-08-10,2025-08-13
D00076,Lead,2024-09-11,2024-09-16
D00077,Lead,2024-06-12,2024-06-19
D00077,Qualified,2024-06-19,2024-06-26
D00077,Demo,2024-06-26,2024-07-05
D00077,Proposal,2024-07-05,2024-07-21
D00077,Negotiation,2024-07-21,2024-07-30
D00078,Lead,2025-06-24,2025-06-30
D00078,Qualified,2025-06-30,2025-07-07
D00078,Demo,2025-07-07,2025-07-14
D00078,Proposal,2025-07-14,2025-07-31
D00078,Negotiation,2025-07-31,2025-08-08
D00079,Lead,2024-02-16,2024-02-21
D00079,Qualified,2024-02-21,2024-02-22
D00079,Demo,2024-02-22,2024-03-04
D00079,Proposal,2024-03-04,2024-03-17
D00079,Negotiation,2024-03-17,2024-03-24
D00080,Lead,2025-02-06,2025-02-13
D00080,Qualified,2025-02-13,2025-02-18
D00080,Demo,2025-02-18,2025-02-25
D00080,Proposal,2025-02-25,2025-03-27
D00080,Negotiation,2025-03-27,2025-04-07
D00081,Lead,2026-04-21,2026-04-27
D00081,Qualified,2026-04-27,2026-05-03
D00081,Demo,2026-05-03,2026-05-13
D00081,Proposal,2026-05-13,2026-05-28
D00081,Negotiation,2026-05-28,2026-06-06
D00082,Lead,2024-02-18,2024-02-21
D00082,Qualified,2024-02-21,2024-02-27
D00082,Demo,2024-02-27,2024-03-09
D00082,Proposal,2024-03-09,2024-03-18
D00082,Negotiation,2024-03-18,2024-03-22
D00083,Lead,2026-06-03,2026-06-07
D00083,Qualified,2026-06-07,2026-06-12
D00083,Demo,2026-06-12,2026-06-22
D00083,Proposal,2026-06-22,2026-07-06
D00083,Negotiation,2026-07-06,2026-07-10
D00084,Lead,2025-01-02,2025-01-07
D00084,Qualified,2025-01-07,2025-01-12
D00084,Demo,2025-01-12,2025-01-19
D00084,Proposal,2025-01-19,2025-01-31
D00084,Negotiation,2025-01-31,2025-02-09
D00085,Lead,2025-10-19,2025-10-21
D00085,Qualified,2025-10-21,2025-10-27
D00086,Lead,2025-02-26,2025-02-28
D00086,Qualified,2025-02-28,2025-03-05
D00086,Demo,2025-03-05,2025-03-08
D00086,Proposal,2025-03-08,2025-04-01
D00087,Lead,2026-04-28,2026-05-07
D00087,Qualified,2026-05-07,2026-05-11
D00087,Demo,2026-05-11,2026-05-22
D00087,Proposal,2026-05-22,2026-06-06
D00087,Negotiation,2026-06-06,2026-06-11
D00088,Lead,2024-12-05,2024-12-11
D00088,Qualified,2024-12-11,2024-12-19
D00088,Demo,2024-12-19,2024-12-24
D00088,Proposal,2024-12-24,2024-12-31
D00088,Negotiation,2024-12-31,2025-01-21
D00089,Lead,2025-02-02,2025-02-03
D00089,Qualified,2025-02-03,2025-02-09
D00089,Demo,2025-02-09,2025-02-16
D00089,Proposal,2025-02-16,2025-02-27
D00089,Negotiation,2025-02-27,2025-03-07
D00090,Lead,2025-11-07,2025-11-13
D00090,Qualified,2025-11-13,2025-11-21
D00090,Demo,2025-11-21,2025-11-26
D00090,Proposal,2025-11-26,2025-12-15
D00090,Negotiation,2025-12-15,2025-12-24
D00091,Lead,2026-06-07,2026-06-13
D00091,Qualified,2026-06-13,2026-06-20
D00091,Demo,2026-06-20,2026-06-27
D00091,Proposal,2026-06-27,2026-07-09
D00091,Negotiation,2026-07-09,2026-07-21
D00092,Lead,2024-12-06,2024-12-11
D00092,Qualified,2024-12-11,2024-12-16
D00092,Demo,2024-12-16,2024-12-21
D00092,Proposal,2024-12-21,2025-01-07
D00092,Negotiation,2025-01-07,2025-01-14
D00093,Lead,2026-06-25,2026-06-28
D00093,Qualified,2026-06-28,2026-07-06
D00093,Demo,2026-07-06,2026-07-11
D00093,Proposal,2026-07-11,
D00094,Lead,2026-06-09,2026-06-16
D00094,Qualified,2026-06-16,2026-06-25
D00094,Demo,2026-06-25,2026-07-05
D00094,Proposal,2026-07-05,2026-07-20
D00094,Negotiation,2026-07-20,
D00095,Lead,2024-08-14,2024-08-22
D00095,Qualified,2024-08-22,2024-09-03
D00095,Demo,2024-09-03,2024-09-12
D00095,Proposal,2024-09-12,2024-09-24
D00096,Lead,2026-04-09,2026-04-16
D00096,Qualified,2026-04-16,2026-04-24
D00096,Demo,2026-04-24,2026-04-30
D00096,Proposal,2026-04-30,2026-05-08
D00096,Negotiation,2026-05-08,2026-05-15
D00097,Lead,2025-07-03,2025-07-09
D00097,Qualified,2025-07-09,2025-07-13
D00097,Demo,2025-07-13,2025-07-22
D00097,Proposal,2025-07-22,2025-08-08
D00097,Negotiation,2025-08-08,2025-08-14
D00098,Lead,2024-05-21,2024-05-22
D00098,Qualified,2024-05-22,2024-05-23
D00098,Demo,2024-05-23,2024-05-28
D00098,Proposal,2024-05-28,2024-06-14
D00098,Negotiation,2024-06-14,2024-06-21
D00099,Lead,2024-08-13,2024-08-20
D00099,Qualified,2024-08-20,2024-08-24
D00099,Demo,2024-08-24,2024-09-05
D00099,Proposal,2024-09-05,2024-09-18
D00099,Negotiation,2024-09-18,2024-09-28
D00100,Lead,2024-03-30,2024-04-02
D00100,Qualified,2024-04-02,2024-04-05
D00100,Demo,2024-04-05,2024-04-16
D00100,Proposal,2024-04-16,2024-04-23
D00100,Negotiation,2024-04-23,2024-05-04
D00101,Lead,2024-10-10,2024-10-14
D00101,Qualified,2024-10-14,2024-10-19
D00101,Demo,2024-10-19,2024-10-27
D00101,Proposal,2024-10-27,2024-11-03
D00101,Negotiation,2024-11-03,2024-11-15
D00102,Lead,2025-04-14,2025-04-20
D00102,Qualified,2025-04-20,2025-04-29
D00102,Demo,2025-04-29,2025-05-07
D00102,Proposal,2025-05-07,2025-05-23
D00102,Negotiation,2025-05-23,2025-05-30
D00103,Lead,2024-11-05,2024-11-07
D00103,Qualified,2024-11-07,2024-11-16
D00103,Demo,2024-11-16,2024-11-25
D00103,Proposal,2024-11-25,2024-12-15
D00103,Negotiation,2024-12-15,2024-12-21
D00104,Lead,2025-05-04,2025-05-06
D00104,Qualified,2025-05-06,2025-05-15
D00104,Demo,2025-05-15,2025-05-19
D00104,Proposal,2025-05-19,2025-05-27
D00104,Negotiation,2025-05-27,2025-06-04
D00105,Lead,2025-01-28,2025-02-01
D00105,Qualified,2025-02-01,2025-02-05
D00105,Demo,2025-02-05,2025-02-13
D00105,Proposal,2025-02-13,2025-02-25
D00106,Lead,2026-07-06,2026-07-10
D00106,Qualified,2026-07-10,2026-07-16
D00106,Demo,2026-07-16,
D00107,Lead,2024-02-10,2024-02-15
D00107,Qualified,2024-02-15,2024-02-20
D00107,Demo,2024-02-20,2024-02-29
D00107,Proposal,2024-02-29,2024-03-11
D00107,Negotiation,2024-03-11,2024-03-20
D00108,Lead,2026-06-10,2026-06-17
D00108,Qualified,2026-06-17,2026-06-24
D00108,Demo,2026-06-24,2026-07-04
D00108,Proposal,2026-07-04,2026-07-21
D00108,Negotiation,2026-07-21,
D00109,Lead,2025-08-13,2025-08-16
D00109,Qualified,2025-08-16,2025-08-22
D00109,Demo,2025-08-22,2025-09-02
D00109,Proposal,2025-09-02,2025-09-14
D00109,Negotiation,2025-09-14,2025-09-22
D00110,Lead,2026-05-26,2026-05-30
D00110,Qualified,2026-05-30,2026-06-06
D00110,Demo,2026-06-06,2026-06-17
D00110,Proposal,2026-06-17,2026-07-09
D00110,Negotiation,2026-07-09,2026-07-17
D00111,Lead,2025-07-13,2025-07-17
D00112,Lead,2026-01-14,2026-01-16
D00112,Qualified,2026-01-16,2026-01-26
D00112,Demo,2026-01-26,2026-02-07
D00112,Proposal,2026-02-07,2026-02-15
D00112,Negotiation,2026-02-15,2026-03-04
D00113,Lead,2024-11-18,2024-11-22
D00113,Qualified,2024-11-22,2024-11-27
D00113,Demo,2024-11-27,2024-12-01
D00113,Proposal,2024-12-01,2024-12-10
D00114,Lead,2026-05-27,2026-05-31
D00114,Qualified,2026-05-31,2026-06-07
D00114,Demo,2026-06-07,2026-06-11
D00114,Proposal,2026-06-11,2026-07-12
D00114,Negotiation,2026-07-12,
D00115,Lead,2024-03-17,2024-03-24
D00115,Qualified,2024-03-24,2024-04-03
D00116,Lead,2025-03-12,2025-03-19
D00116,Qualified,2025-03-19,2025-03-24
D00116,Demo,2025-03-24,2025-03-28
D00116,Proposal,2025-03-28,2025-04-11
D00116,Negotiation,2025-04-11,2025-04-15
D00117,Lead,2024-12-18,2024-12-22
D00117,Qualified,2024-12-22,2025-01-04
D00117,Demo,2025-01-04,2025-01-17
D00117,Proposal,2025-01-17,2025-02-01
D00117,Negotiation,2025-02-01,2025-02-23
D00118,Lead,2026-06-30,2026-07-05
D00118,Qualified,2026-07-05,2026-07-10
D00118,Demo,2026-07-10,2026-07-18
D00118,Proposal,2026-07-18,
D00119,Lead,2026-05-02,2026-05-07
D00120,Lead,2024-03-15,2024-03-17
D00120,Qualified,2024-03-17,2024-03-27
D00120,Demo,2024-03-27,2024-04-03
D00120,Proposal,2024-04-03,2024-04-15
D00120,Negotiation,2024-04-15,2024-04-25
D00121,Lead,2026-07-02,2026-07-07
D00121,Qualified,2026-07-07,2026-07-14
D00121,Demo,2026-07-14,
D00122,Lead,2024-09-12,2024-09-13
D00122,Qualified,2024-09-13,2024-09-21
D00122,Demo,2024-09-21,2024-09-24
D00122,Proposal,2024-09-24,2024-10-03
D00123,Lead,2024-04-17,2024-04-24
D00123,Qualified,2024-04-24,2024-04-30
D00123,Demo,2024-04-30,2024-05-08
D00124,Lead,2026-01-09,2026-01-11
D00124,Qualified,2026-01-11,2026-01-17
D00124,Demo,2026-01-17,2026-01-26
D00124,Proposal,2026-01-26,2026-02-10
D00124,Negotiation,2026-02-10,2026-02-25
D00125,Lead,2025-01-14,2025-01-18
D00125,Qualified,2025-01-18,2025-01-26
D00125,Demo,2025-01-26,2025-02-06
D00125,Proposal,2025-02-06,2025-02-21
D00125,Negotiation,2025-02-21,2025-03-01
D00126,Lead,2026-07-11,2026-07-14
D00126,Qualified,2026-07-14,
D00127,Lead,2026-07-05,2026-07-10
D00127,Qualified,2026-07-10,2026-07-15
D00127,Demo,2026-07-15,
D00128,Lead,2026-05-05,2026-05-10
D00128,Qualified,2026-05-10,2026-05-19
D00128,Demo,2026-05-19,2026-05-27
D00128,Proposal,2026-05-27,2026-06-08
D00128,Negotiation,2026-06-08,2026-06-17
D00129,Lead,2026-05-24,2026-05-25
D00129,Qualified,2026-05-25,2026-05-31
D00129,Demo,2026-05-31,2026-06-11
D00129,Proposal,2026-06-11,2026-06-26
D00129,Negotiation,2026-06-26,2026-07-02
D00130,Lead,2025-06-20,2025-06-25
D00130,Qualified,2025-06-25,2025-07-01
D00130,Demo,2025-07-01,2025-07-11
D00130,Proposal,2025-07-11,2025-07-20
D00130,Negotiation,2025-07-20,2025-07-29
D00131,Lead,2024-06-15,2024-06-21
D00131,Qualified,2024-06-21,2024-06-30
D00131,Demo,2024-06-30,2024-07-03
D00131,Proposal,2024-07-03,2024-07-09
D00131,Negotiation,2024-07-09,2024-07-14
D00132,Lead,2026-05-24,2026-05-30
D00132,Qualified,2026-05-30,2026-06-05
D00132,Demo,2026-06-05,2026-06-13
D00132,Proposal,2026-06-13,2026-06-27
D00132,Negotiation,2026-06-27,2026-07-02
D00133,Lead,2026-01-08,2026-01-12
D00133,Qualified,2026-01-12,2026-01-20
D00133,Demo,2026-01-20,2026-01-28
D00133,Proposal,2026-01-28,2026-02-08
D00133,Negotiation,2026-02-08,2026-02-14
D00134,Lead,2024-07-06,2024-07-10
D00134,Qualified,2024-07-10,2024-07-15
D00134,Demo,2024-07-15,2024-07-19
D00134,Proposal,2024-07-19,2024-07-26
D00135,Lead,2026-06-10,2026-06-16
D00135,Qualified,2026-06-16,2026-06-22
D00135,Demo,2026-06-22,2026-06-28
D00135,Proposal,2026-06-28,2026-07-07
D00135,Negotiation,2026-07-07,2026-07-19
D00136,Lead,2024-02-08,2024-02-15
D00136,Qualified,2024-02-15,2024-02-21
D00136,Demo,2024-02-21,2024-02-26
D00136,Proposal,2024-02-26,2024-03-06
D00136,Negotiation,2024-03-06,2024-03-14
D00137,Lead,2024-07-11,2024-07-14
D00137,Qualified,2024-07-14,2024-07-18
D00137,Demo,2024-07-18,2024-07-24
D00137,Proposal,2024-07-24,2024-08-26
D00137,Negotiation,2024-08-26,2024-08-31
D00138,Lead,2024-07-29,2024-07-30
D00138,Qualified,2024-07-30,2024-08-03
D00138,Demo,2024-08-03,2024-08-12
D00138,Proposal,2024-08-12,2024-08-25
D00138,Negotiation,2024-08-25,2024-08-30
D00139,Lead,2025-05-07,2025-05-08
D00139,Qualified,2025-05-08,2025-05-11
D00139,Demo,2025-05-11,2025-05-17
D00139,Proposal,2025-05-17,2025-06-17
D00139,Negotiation,2025-06-17,2025-06-24
