deal_id,account_name,rep_id,product,deal_amount,created_date,original_expected_close_date,current_expected_close_date,actual_close_date,current_stage,status,lost_reason
D00062,NimbusPeak Inc.,R001,Pro,19500,2025-08-03,2025-09-18,2025-09-19,2025-09-09,Negotiation,Closed Won,
D00063,LumenLogic Ltd.,R008,Starter,6600,2026-04-25,2026-05-31,2026-06-05,2026-05-28,Negotiation,Closed Won,
D00064,AnchorGrid Co.,R002,Starter,8000,2026-04-27,2026-06-02,2026-06-03,2026-06-07,Negotiation,Closed Lost,Lost to competitor
D00065,RedwoodField Co.,R004,Starter,7700,2025-12-27,2026-02-01,2026-02-02,2026-02-08,Negotiation,Closed Won,
D00066,PinnacleCore Inc.,R010,Pro,16500,2025-03-02,2025-04-17,2025-04-22,2025-04-19,Negotiation,Closed Lost,Went dark
D00067,PinnacleBridge Co.,R002,Starter,4200,2025-04-22,2025-05-28,2025-05-28,2025-05-15,Proposal,Closed Lost,Lost to competitor
D00068,HarborWorks LLC,R001,Starter,5500,2026-05-31,2026-07-06,2026-07-07,2026-07-05,Negotiation,Closed Lost,Lost to competitor
D00069,BrightWorks LLC,R003,Starter,5500,2025-01-09,2025-02-14,2025-02-15,2025-02-20,Negotiation,Closed Won,
D00070,IonicSystems Co.,R010,Starter,7500,2025-03-02,2025-04-07,2025-04-09,2025-04-17,Negotiation,Closed Won,
D00071,AnchorPeak LLC,R010,Enterprise,107900,2026-03-04,2026-05-12,2026-05-12,2026-04-09,Negotiation,Closed Lost,Legal/procurement stalled
D00072,FusionMetrics Group,R004,Pro,16300,2025-12-22,2026-02-06,2026-02-08,2026-01-11,Demo,Closed Lost,Lost to competitor
D00073,NimbusBridge Co.,R008,Starter,7100,2026-02-04,2026-03-12,2026-03-12,2026-03-10,Negotiation,Closed Won,
D00074,DeltaField Group,R006,Starter,3300,2024-10-21,2024-11-26,2024-12-06,2024-12-11,Negotiation,Closed Won,
D00075,SummitGrid Group,R009,Pro,24000,2025-07-10,2025-08-25,2025-08-27,2025-08-13,Negotiation,Closed Won,
D00076,RapidPath Inc.,R001,Starter,4200,2024-09-11,2024-10-17,2024-10-17,2024-09-16,Lead,Closed Lost,No response
D00077,SolacePoint Inc.,R007,Pro,23700,2024-06-12,2024-07-28,2024-08-01,2024-07-30,Negotiation,Closed Won,
D00078,BrightSystems Co.,R012,Starter,7600,2025-06-24,2025-07-30,2025-08-03,2025-08-08,Negotiation,Closed Lost,Went dark
D00079,FusionWave Co.,R007,Starter,3300,2024-02-16,2024-03-23,2024-03-24,2024-03-24,Negotiation,Closed Won,
D00080,LumenStream Inc.,R009,Starter,7900,2025-02-06,2025-03-14,2025-04-02,2025-04-07,Negotiation,Closed Won,
D00081,SummitLabs Group,R007,Starter,5700,2026-04-21,2026-05-27,2026-05-29,2026-06-06,Negotiation,Closed Won,
D00082,VertexCore Co.,R006,Enterprise,88800,2024-02-18,2024-04-27,2024-04-28,2024-03-22,Negotiation,Closed Won,
D00083,AnchorLoop Group,R011,Pro,8700,2026-06-03,2026-07-19,2026-07-19,2026-07-10,Negotiation,Closed Lost,Went dark
D00084,DeltaField Group,R005,Starter,5600,2025-01-02,2025-02-07,2025-02-07,2025-02-09,Negotiation,Closed Won,
D00085,VertexPoint Inc.,R012,Pro,10900,2025-10-19,2025-12-04,2025-12-04,2025-10-27,Qualified,Closed Lost,No budget
D00086,IonicLogic Co.,R003,Pro,11900,2025-02-26,2025-04-13,2025-04-23,2025-04-01,Proposal,Closed Lost,Budget cut
D00087,VertexBridge Group,R009,Starter,4000,2026-04-28,2026-06-03,2026-06-09,2026-06-11,Negotiation,Closed Lost,Lost to competitor
D00088,RedwoodPeak Ltd.,R010,Enterprise,117500,2024-12-05,2025-02-12,2025-02-25,2025-01-21,Negotiation,Closed Won,
D00089,HarborLoop Co.,R011,Enterprise,56500,2025-02-02,2025-04-12,2025-04-12,2025-03-07,Negotiation,Closed Won,
D00090,DeltaPoint Group,R007,Starter,6100,2025-11-07,2025-12-13,2025-12-20,2025-12-24,Negotiation,Closed Lost,Legal/procurement stalled
D00091,CobaltField Inc.,R007,Pro,20300,2026-06-07,2026-07-23,2026-07-26,2026-07-21,Negotiation,Closed Won,
D00092,ClearStream Ltd.,R010,Starter,7300,2024-12-06,2025-01-11,2025-01-14,2025-01-14,Negotiation,Closed Won,
D00093,HarborCore Ltd.,R001,Enterprise,68900,2026-06-25,2026-09-02,2026-09-08,,Proposal,Open,
D00094,PinnacleCore Ltd.,R012,Starter,3200,2026-06-09,2026-07-15,2026-07-21,,Negotiation,Open,
D00095,LumenWorks Inc.,R008,Starter,5300,2024-08-14,2024-09-19,2024-09-27,2024-09-24,Proposal,Closed Lost,Budget cut
D00096,VertexStream Inc.,R012,Starter,7200,2026-04-09,2026-05-15,2026-05-18,2026-05-15,Negotiation,Closed Lost,Legal/procurement stalled
D00097,CobaltCore Group,R003,Starter,4000,2025-07-03,2025-08-08,2025-08-12,2025-08-14,Negotiation,Closed Lost,Went dark
D00098,VertexStream Inc.,R010,Starter,3900,2024-05-21,2024-06-26,2024-06-29,2024-06-21,Negotiation,Closed Won,
D00099,LumenField LLC,R005,Starter,4100,2024-08-13,2024-09-18,2024-09-22,2024-09-28,Negotiation,Closed Lost,Lost to competitor
D00100,SilverGrid Group,R008,Enterprise,36200,2024-03-30,2024-06-07,2024-06-09,2024-05-04,Negotiation,Closed Won,
D00101,BrightPoint Inc.,R011,Starter,7300,2024-10-10,2024-11-15,2024-11-17,2024-11-15,Negotiation,Closed Won,
D00102,ClearSystems Co.,R011,Pro,14100,2025-04-14,2025-05-30,2025-06-04,2025-05-30,Negotiation,Closed Lost,Went dark
D00103,SilverPoint Group,R003,Enterprise,108300,2024-11-05,2025-01-13,2025-01-21,2024-12-21,Negotiation,Closed Won,
D00104,CobaltLogic Inc.,R002,Starter,3400,2025-05-04,2025-06-09,2025-06-11,2025-06-04,Negotiation,Closed Won,
D00105,NimbusLoop Inc.,R006,Enterprise,54900,2025-01-28,2025-04-07,2025-04-07,2025-02-25,Proposal,Closed Lost,Price too high
D00106,RedwoodWave Inc.,R010,Starter,7400,2026-07-06,2026-08-11,2026-08-14,,Demo,Open,
D00107,RapidPath Co.,R001,Enterprise,62800,2024-02-10,2024-04-19,2024-04-19,2024-03-20,Negotiation,Closed Won,
D00108,OrbitCore Inc.,R002,Pro,18400,2026-06-10,2026-07-26,2026-07-31,,Negotiation,Open,
D00109,IonicPeak LLC,R011,Starter,5300,2025-08-13,2025-09-18,2025-09-19,2025-09-22,Negotiation,Closed Won,
D00110,NimbusLogic Co.,R005,Pro,17700,2026-05-26,2026-07-11,2026-07-20,2026-07-17,Negotiation,Closed Won,
D00111,BrightLogic Group,R004,Starter,7700,2025-07-13,2025-08-18,2025-08-18,2025-07-17,Lead,Closed Lost,No response
D00112,CobaltPeak LLC,R005,Starter,5600,2026-01-14,2026-02-19,2026-03-03,2026-03-04,Negotiation,Closed Won,
D00113,AnchorPoint Ltd.,R007,Pro,20500,2024-11-18,2025-01-03,2025-01-03,2024-12-10,Proposal,Closed Lost,Price too high
D00114,RedwoodStream LLC,R003,Starter,4200,2026-05-27,2026-07-02,2026-07-27,,Negotiation,Open,
D00115,HarborBridge Inc.,R001,Enterprise,43800,2024-03-17,2024-05-25,2024-05-30,2024-04-03,Qualified,Closed Lost,Not the right time
D00116,FusionBridge Ltd.,R003,Starter,7500,2025-03-12,2025-04-17,2025-04-19,2025-04-15,Negotiation,Closed Won,
D00117,FusionMetrics Co.,R010,Pro,14600,2024-12-18,2025-02-02,2025-02-24,2025-02-23,Negotiation,Closed Won,
D00118,BrightWorks Ltd.,R006,Pro,19900,2026-06-30,2026-08-15,2026-08-15,,Proposal,Open,
D00119,SilverPoint Ltd.,R006,Pro,23600,2026-05-02,2026-06-17,2026-06-17,2026-05-07,Lead,Closed Lost,Not a fit (ICP mismatch)
D00120,RedwoodLoop Ltd.,R006,Pro,19300,2024-03-15,2024-04-30,2024-05-03,2024-04-25,Negotiation,Closed Lost,Legal/procurement stalled
D00121,DeltaBridge Inc.,R006,Enterprise,116900,2026-07-02,2026-09-09,2026-09-09,,Demo,Open,
D00122,AnchorPath LLC,R012,Starter,4300,2024-09-12,2024-10-18,2024-10-19,2024-10-03,Proposal,Closed Lost,Price too high
D00123,ClearPeak Group,R002,Starter,7400,2024-04-17,2024-05-23,2024-05-25,2024-05-08,Demo,Closed Lost,No internal champion
D00124,OrbitWave Ltd.,R012,Pro,19200,2026-01-09,2026-02-24,2026-03-02,2026-02-25,Negotiation,Closed Won,
D00125,VertexLoop Inc.,R007,Starter,5200,2025-01-14,2025-02-19,2025-02-22,2025-03-01,Negotiation,Closed Won,
D00126,IonicWave Group,R009,Pro,19500,2026-07-11,2026-08-26,2026-08-30,,Qualified,Open,
D00127,PinnacleLogic Group,R003,Pro,12400,2026-07-05,2026-08-20,2026-08-22,,Demo,Open,
D00128,OrbitMetrics LLC,R003,Pro,17900,2026-05-05,2026-06-20,2026-06-22,2026-06-17,Negotiation,Closed Lost,Went dark
D00129,PinnacleLoop Co.,R005,Starter,5500,2026-05-24,2026-06-29,2026-07-01,2026-07-02,Negotiation,Closed Lost,Went dark
D00130,VertexField Inc.,R010,Starter,4000,2025-06-20,2025-07-26,2025-07-26,2025-07-29,Negotiation,Closed Won,
D00131,FusionBridge LLC,R010,Pro,11600,2024-06-15,2024-07-31,2024-08-03,2024-07-14,Negotiation,Closed Won,
D00132,HarborLabs LLC,R011,Pro,18600,2026-05-24,2026-07-09,2026-07-10,2026-07-02,Negotiation,Closed Lost,Legal/procurement stalled
D00133,OrbitSystems Ltd.,R001,Pro,25000,2026-01-08,2026-02-23,2026-02-24,2026-02-14,Negotiation,Closed Lost,Lost to competitor
D00134,HarborCore LLC,R011,Enterprise,87200,2024-07-06,2024-09-13,2024-09-13,2024-07-26,Proposal,Closed Lost,Budget cut
D00135,HarborLoop Group,R003,Starter,4000,2026-06-10,2026-07-16,2026-07-19,2026-07-19,Negotiation,Closed Won,
D00136,CobaltWorks Group,R009,Starter,4900,2024-02-08,2024-03-15,2024-03-17,2024-03-14,Negotiation,Closed Won,
D00137,QuartzField Group,R003,Enterprise,112200,2024-07-11,2024-09-18,2024-10-07,2024-08-31,Negotiation,Closed Won,
D00138,NimbusMetrics Co.,R012,Pro,8200,2024-07-29,2024-09-13,2024-09-13,2024-08-30,Negotiation,Closed Lost,Legal/procurement stalled
D00139,BrightPoint Co.,R006,Starter,3100,2025-05-07,2025-06-12,2025-06-29,2025-06-24,Negotiation,Closed Lost,Lost to competitor
D00140,SilverLoop Ltd.,R006,Starter,5200,2024-06-23,2024-07-29,2024-08-04,2024-07-28,Proposal,Closed Lost,Price too high
D00141,BrightSystems Ltd.,R011,Starter,6100,2025-08-05,2025-09-10,2025-09-12,2025-08-26,Demo,Closed Lost,No internal champion
D00142,RapidWorks LLC,R012,Pro,24600,2025-08-13,2025-09-28,2025-10-10,2025-10-02,Negotiation,Closed Won,
D00143,LumenWorks LLC,R009,Pro,14900,2026-05-14,2026-06-29,2026-06-29,2026-06-19,Negotiation,Closed Lost,Legal/procurement stalled
D00144,AnchorCore Ltd.,R004,Pro,13600,2026-04-16,2026-06-01,2026-06-01,2026-04-25,Qualified,Closed Lost,Not the right time
D00145,LumenBridge Ltd.,R001,Enterprise,71800,2024-04-18,2024-06-26,2024-06-27,2024-05-05,Demo,Closed Lost,Lost to competitor
D00146,DeltaField Group,R008,Starter,6700,2024-05-17,2024-06-22,2024-06-25,2024-06-22,Negotiation,Closed Won,
D00147,IonicLabs Ltd.,R007,Pro,23100,2024-05-21,2024-07-06,2024-07-07,2024-06-27,Negotiation,Closed Won,
D00148,QuartzLoop Co.,R007,Pro,16900,2026-05-17,2026-07-02,2026-07-04,2026-06-26,Negotiation,Closed Won,
D00149,SummitLabs Inc.,R012,Starter,6300,2026-03-26,2026-05-01,2026-05-06,2026-05-08,Negotiation,Closed Won,
D00150,NimbusLogic Ltd.,R012,Pro,14400,2026-05-08,2026-06-23,2026-06-23,2026-05-22,Demo,Closed Lost,No internal champion
D00151,SolacePeak Inc.,R012,Starter,4100,2024-03-15,2024-04-20,2024-04-28,2024-04-30,Negotiation,Closed Won,
D00152,ClearPoint Group,R007,Enterprise,114800,2024-11-24,2025-02-01,2025-02-16,2025-01-23,Negotiation,Closed Won,
D00153,NorthGrid LLC,R009,Pro,22900,2024-07-29,2024-09-13,2024-09-14,2024-08-10,Qualified,Closed Lost,No budget
D00154,VertexWorks Ltd.,R004,Enterprise,63700,2025-08-11,2025-10-19,2025-10-22,2025-08-24,Qualified,Closed Lost,No budget
D00155,FusionPath Ltd.,R005,Pro,12800,2026-07-12,2026-08-27,2026-08-27,,Demo,Open,
D00156,QuartzBridge Ltd.,R002,Starter,5900,2024-05-24,2024-06-29,2024-07-09,2024-07-09,Negotiation,Closed Won,
D00157,RedwoodWorks LLC,R002,Starter,4000,2026-07-10,2026-08-15,2026-08-15,,Demo,Open,
D00158,VertexMetrics Inc.,R001,Starter,6900,2024-06-21,2024-07-27,2024-07-30,2024-07-30,Negotiation,Closed Won,
D00159,PinnacleGrid Group,R001,Pro,17800,2025-10-08,2025-11-23,2025-11-30,2025-11-20,Negotiation,Closed Won,
D00160,PinnacleMetrics LLC,R010,Pro,24500,2026-06-27,2026-08-12,2026-08-12,2026-07-07,Qualified,Closed Lost,No budget
D00161,SolacePath Ltd.,R001,Starter,6200,2025-04-10,2025-05-16,2025-05-23,2025-05-26,Negotiation,Closed Won,
D00162,SummitGrid Ltd.,R003,Starter,5600,2025-03-26,2025-05-01,2025-05-01,2025-04-24,Proposal,Closed Lost,Budget cut
D00163,VertexPeak Group,R003,Starter,4300,2026-06-28,2026-08-03,2026-08-03,2026-07-02,Lead,Closed Lost,No response
D00164,SolaceStream Inc.,R008,Starter,7200,2025-04-27,2025-06-02,2025-06-04,2025-06-07,Negotiation,Closed Lost,Went dark
D00165,VertexField Ltd.,R009,Pro,9600,2025-06-28,2025-08-13,2025-08-14,2025-08-07,Negotiation,Closed Lost,Lost to competitor
D00166,NimbusGrid LLC,R005,Starter,6500,2025-02-22,2025-03-30,2025-03-31,2025-04-02,Negotiation,Closed Won,
D00167,VertexWave LLC,R005,Enterprise,79900,2025-05-10,2025-07-18,2025-07-23,2025-06-20,Negotiation,Closed Won,
D00168,BrightGrid Inc.,R010,Starter,4900,2026-04-26,2026-06-01,2026-06-03,2026-06-01,Negotiation,Closed Lost,Lost to competitor
D00169,PinnacleField Ltd.,R007,Starter,5000,2026-03-09,2026-04-14,2026-04-16,2026-04-22,Negotiation,Closed Won,
D00170,OrbitWave Group,R005,Pro,24400,2025-08-11,2025-09-26,2025-09-27,2025-08-21,Qualified,Closed Lost,No budget
D00171,RapidSystems Co.,R011,Pro,21600,2024-08-13,2024-09-28,2024-09-28,2024-09-14,Negotiation,Closed Won,
D00172,CobaltPath Ltd.,R004,Starter,4200,2024-07-30,2024-09-04,2024-09-12,2024-09-15,Negotiation,Closed Lost,Legal/procurement stalled
D00173,IonicSystems LLC,R009,Starter,4700,2025-05-04,2025-06-09,2025-06-09,2025-06-06,Negotiation,Closed Won,
D00174,NorthLoop Inc.,R005,Pro,17700,2025-02-14,2025-04-01,2025-04-20,2025-04-14,Negotiation,Closed Won,
D00175,FusionPoint Ltd.,R004,Pro,16100,2024-03-02,2024-04-17,2024-04-17,2024-03-13,Qualified,Closed Lost,No budget
D00176,DeltaLabs LLC,R011,Pro,11000,2026-06-28,2026-08-13,2026-08-14,,Negotiation,Open,
D00177,SilverField Ltd.,R011,Starter,7400,2025-09-11,2025-10-17,2025-10-18,2025-10-11,Negotiation,Closed Won,
D00178,SolaceBridge Ltd.,R007,Starter,4200,2026-07-08,2026-08-13,2026-08-13,,Proposal,Open,
D00179,BrightCore LLC,R011,Pro,23500,2025-10-17,2025-12-02,2025-12-03,2025-11-23,Negotiation,Closed Won,
D00180,AnchorWave Group,R007,Starter,3800,2026-06-26,2026-08-01,2026-08-06,,Proposal,Open,
D00181,VertexCore Group,R012,Pro,11200,2024-10-05,2024-11-20,2024-11-23,2024-11-16,Negotiation,Closed Lost,Went dark
D00182,PinnacleWave LLC,R007,Pro,10100,2026-05-18,2026-07-03,2026-07-07,2026-06-18,Proposal,Closed Lost,Budget cut
D00183,NorthPath LLC,R004,Starter,3300,2024-11-01,2024-12-07,2024-12-13,2024-12-20,Negotiation,Closed Won,
D00184,QuartzGrid Inc.,R009,Pro,10100,2025-12-19,2026-02-03,2026-02-05,2026-01-24,Negotiation,Closed Won,
D00185,SilverCore Inc.,R005,Pro,17200,2025-04-05,2025-05-21,2025-05-21,2025-05-04,Negotiation,Closed Won,
D00186,NorthWorks Ltd.,R003,Enterprise,44200,2026-05-02,2026-07-10,2026-07-15,2026-06-07,Proposal,Closed Lost,Budget cut
D00187,QuartzLoop Inc.,R007,Pro,21500,2026-06-30,2026-08-15,2026-08-18,,Proposal,Open,
D00188,OrbitWorks Group,R006,Pro,19900,2025-08-13,2025-09-28,2025-09-28,2025-09-12,Negotiation,Closed Won,
D00189,QuartzCore Ltd.,R001,Pro,24700,2025-02-10,2025-03-28,2025-03-28,2025-02-19,Qualified,Closed Lost,Not the right time
D00190,HarborWave Inc.,R003,Starter,5300,2025-08-08,2025-09-13,2025-09-20,2025-09-24,Negotiation,Closed Lost,Legal/procurement stalled
D00191,AnchorLogic Group,R006,Enterprise,66300,2024-12-08,2025-02-15,2025-02-19,2025-01-18,Negotiation,Closed Lost,Went dark
D00192,IonicWorks LLC,R002,Pro,20700,2026-05-29,2026-07-14,2026-07-14,2026-07-05,Negotiation,Closed Lost,Went dark
D00193,NimbusPath LLC,R010,Pro,21100,2026-05-30,2026-07-15,2026-07-15,2026-07-04,Negotiation,Closed Won,
D00194,HarborLabs LLC,R004,Starter,5600,2026-06-23,2026-07-29,2026-08-03,,Proposal,Open,
D00195,FusionWorks LLC,R006,Enterprise,26800,2025-11-06,2026-01-14,2026-01-19,2025-12-22,Negotiation,Closed Lost,Went dark
D00196,ClearLabs Co.,R005,Pro,18600,2026-06-19,2026-08-04,2026-08-17,,Negotiation,Open,
D00197,LumenSystems LLC,R004,Enterprise,54400,2025-12-01,2026-02-08,2026-02-21,2026-01-24,Negotiation,Closed Won,
D00198,IonicPeak Co.,R002,Starter,3100,2026-05-10,2026-06-15,2026-06-15,2026-06-09,Negotiation,Closed Won,
D00199,NorthMetrics Co.,R003,Enterprise,118600,2024-03-08,2024-05-16,2024-05-17,2024-04-12,Negotiation,Closed Won,
D00200,DeltaBridge Inc.,R012,Starter,4900,2025-02-09,2025-03-17,2025-03-26,2025-03-26,Negotiation,Closed Won,
D00201,NorthLogic Co.,R012,Enterprise,108800,2026-06-30,2026-09-07,2026-09-09,,Proposal,Open,
D00202,BrightBridge Group,R011,Enterprise,40400,2025-08-02,2025-10-10,2025-10-12,2025-08-26,Demo,Closed Lost,No internal champion
D00203,NorthGrid Inc.,R001,Pro,16400,2025-07-10,2025-08-25,2025-08-29,2025-08-03,Demo,Closed Lost,No internal champion
D00204,AnchorBridge Co.,R010,Starter,7600,2026-05-08,2026-06-13,2026-06-21,2026-06-19,Negotiation,Closed Won,
D00205,SummitMetrics Ltd.,R006,Pro,16900,2026-05-21,2026-07-06,2026-07-18,2026-07-18,Negotiation,Closed Won,
